Month,Page_Load_Time,Bounce_Rate,Conversion_Rate
2023-01-01,5.106652270444677,0.5143451942121444,0.04737525142987903
2023-02-01,7.8281989032389285,0.3171572625265645,0.06276388730276194
2023-03-01,3.239982512886371,0.48090332062282576,0.05051425204595762
2023-04-01,5.954508577592699,0.4735721379056025,0.05715064929013783
2023-05-01,9.872397510451894,0.5424066750640227,0.08952534226829241
2023-06-01,7.3334561175530375,0.44071467418650573,0.04868748235445189
2023-07-01,3.3722643169269015,0.3900807064262301,0.04844020215971981
2023-08-01,7.115272414481059,0.4891651824096815,0.03826263858371947
2023-09-01,8.384956861339896,0.30169215142798117,0.06336532936981992
2023-10-01,2.468395473568221,0.5668426715481676,0.06597134315673976
2023-11-01,4.429744885014772,0.5265599886318659,0.06578621189902953
2023-12-01,5.289362743311719,0.3883638205920471,0.08282817530667126
